id;start_date;end_date;language
1;2019-12-12T06:26:53;2019-12-11T23:35:10;FRENCH
2;2019-12-11T17:03:09;2019-12-12T05:48:50;ENGLISH
3;2019-12-11T16:29:35;2019-12-11T18:25:55;FRENCH
4;2019-12-12T04:15:25;2019-12-11T20:37:04;ENGLISH
5;2019-12-12T07:25:00;2019-12-12T07:59:58;FRENCH
6;2019-12-11T13:40:18;2019-12-11T10:41:40;SPANISH
7;2019-12-11T22:50:22;2019-12-12T01:53:29;ENGLISH
8;2019-12-12T00:38:19;2019-12-12T09:02:57;FRENCH
9;2019-12-12T01:12:43;2019-12-12T09:50:07;ENGLISH
10;2019-12-11T18:23:39;2019-12-11T17:47:15;SPANISH
